Class_0,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10,Class_11,True_Label
0.019921578,2.3513749,0.0029919061,0.016246628,0.07896881,0.4104178,0.25497755,3.0994537,3.997657,0.005613146,4.7604766,0.0019013736,5
2.4066105e-06,0.0055993786,2.8999282e-06,1.95587e-06,7.541777e-06,14.313137,0.00232833,0.18005839,0.31191942,0.0060524098,0.1808866,3.9269635e-06,5
14.995876,0.00011782127,0.0019250803,1.9654872e-06,5.233846e-06,2.4728444e-05,0.0019518241,4.779929e-05,3.9709e-06,9.19257e-07,1.3432615e-05,3.3586963e-05,0
0.12415294,3.938485,0.40431383,0.078628995,4.21905,3.0781505,0.0064723096,0.7364809,1.3210901,0.020317696,1.0419955,0.030861527,4
0.45462114,0.025087314,0.0054492503,1.0604658,13.302411,0.03091894,0.01952511,0.029090436,0.05790207,0.0029265343,0.008105642,0.0034969721,4
0.0006506004,0.00043113102,1.6807493e-05,4.940583e-06,1.6601274e-05,0.0024350989,14.500383,0.00024564326,0.02791845,0.00019480931,0.46769944,1.0826847e-06,6
2.9890273e-06,11.966596,9.611053e-06,1.525148e-06,3.9932156e-06,0.0017294962,3.6745172e-05,3.0311868,1.6120677e-05,8.8420675e-06,0.00040400063,5.869004e-06,1
0.044623822,2.3700923e-06,3.538398e-06,1.319382e-05,8.479396e-05,0.0010683094,14.89612,3.2965672e-05,0.0025056943,6.5713175e-05,0.05547619,5.473314e-07,6
0.00027695353,5.2564188e-05,0.0003890626,6.484209e-05,2.3621495e-05,1.8091756e-05,0.00064404507,2.3032137e-05,2.7173108e-05,5.1770243e-05,0.00012315295,14.998308,11
4.1098313,0.02989881,0.00088375824,0.0036190439,0.00618666,0.10721552,10.642262,0.05104931,0.031594235,0.0016937081,0.0150745185,0.0006892637,6
6.8462026e-07,0.023712244,2.1390074e-06,1.8342508e-06,8.5806005e-06,0.52243,0.00015815705,0.0040079644,0.025335671,0.00017070984,14.424162,1.02402555e-05,10
0.00011448111,0.00079010765,8.153028e-05,0.00042409866,9.36096e-06,0.0005019403,0.0009435187,6.216184e-05,0.011126148,14.779042,0.2068576,4.7027803e-05,10
0.39509383,0.52209276,0.04787464,0.008948953,0.010447708,9.036503,0.1437361,1.8259103,2.0146177,0.0066145295,0.98123795,0.006922406,5
0.0044833748,0.0005154154,14.34116,0.0027284427,6.201518e-05,0.00060580764,0.009230744,2.2000586e-05,0.002348967,0.00072114955,0.63587034,0.0022547587,2
4.2946933e-08,14.996652,5.5655644e-08,2.3949706e-08,2.0327916e-07,0.00045149415,3.7750546e-08,0.002554029,7.724698e-05,1.4736125e-07,0.0002659421,9.92955e-08,1
14.9678,7.9646845e-05,0.00012746586,0.00012437443,0.00012527891,0.0005497546,0.030298566,0.00042110117,0.0003744052,2.1164558e-05,4.7014506e-05,3.1353142e-05,0
14.978069,1.2896629e-05,0.017449947,0.00017399108,3.8986186e-06,2.0435782e-05,0.0035406067,2.8509553e-06,2.6417809e-05,6.098912e-06,6.32343e-05,0.00063240906,0
